Date,Price,Open,High,Low,Volume,Chg%
15-02-2022,524.8,502,526.85,497.1,23.84M,4.67%
14-02-2022,501.4,515,515.6,499.7,26.15M,-5.32%
11-02-2022,529.6,536.25,537.7,527.1,14.61M,-2.03%
10-02-2022,540.55,537.1,543.95,534.4,18.66M,0.99%
09-02-2022,535.25,534.95,536.5,527.75,14.86M,0.73%
08-02-2022,531.35,535.5,537.65,519,26.57M,-0.36%
07-02-2022,533.25,531.9,549,525.25,52.29M,0.56%
04-02-2022,530.3,542.15,546.4,527.3,25.33M,-1.81%
03-02-2022,540.1,537.15,544.7,537.15,22.72M,0.06%
02-02-2022,539.8,536.65,544.25,531.35,21.66M,1.41%
01-02-2022,532.3,543.95,543.95,520,32.25M,-1.11%
31-01-2022,538.3,529,540.9,527.05,28.67M,2.84%
28-01-2022,523.45,534,536.4,521.4,24.72M,-1.04%
27-01-2022,528.95,503.55,530.85,503.2,35.41M,2.78%
25-01-2022,514.65,490,517.5,489,21.79M,4.15%
24-01-2022,494.15,502.4,506.8,488,20.23M,-1.70%
21-01-2022,502.7,505.3,507.5,498,16.95M,-1.70%
20-01-2022,511.4,516,519.15,508,17.72M,-0.85%
19-01-2022,515.8,505,517.65,500.3,16.08M,1.78%
18-01-2022,506.8,514,517.45,505,12.59M,-1.40%
17-01-2022,514,508,518.9,507.55,17.42M,1.11%
14-01-2022,508.35,509,510.35,505.15,8.72M,-0.59%
13-01-2022,511.35,510,512.85,507,10.45M,0.22%
12-01-2022,510.25,509.9,513.5,508.5,14.49M,0.85%
11-01-2022,505.95,503,507.8,499.25,16.11M,0.46%
10-01-2022,503.65,493.35,504.95,492.5,15.83M,2.52%
07-01-2022,491.25,493.45,501.95,489.45,22.75M,-0.09%
06-01-2022,491.7,487.7,494.4,485.4,18.19M,-0.14%
05-01-2022,492.4,481.9,495,479.15,24.69M,1.84%
04-01-2022,483.5,472.5,484.7,471.05,23.30M,2.70%
03-01-2022,470.8,462,472,460.1,13.12M,2.25%
31-12-2021,460.45,454.25,461.4,453.1,10.01M,1.94%
30-12-2021,451.7,452.75,454.9,448.5,28.88M,-0.59%
29-12-2021,454.4,461,462.15,451.4,11.76M,-1.47%
28-12-2021,461.2,461.2,462.9,459.05,8.83M,0.69%
27-12-2021,458.05,453.7,460.5,450.55,8.86M,0.24%
24-12-2021,456.95,462.6,463.6,452.2,13.22M,-1.05%
23-12-2021,461.8,461,465,457.75,14.47M,1.31%
22-12-2021,455.85,450,457.3,449,13.10M,2.21%
21-12-2021,446,457.05,458.25,444.5,16.62M,-0.71%
20-12-2021,449.2,459,464,443,22.34M,-3.98%
17-12-2021,467.8,480.05,481.4,466.5,12.65M,-2.77%
16-12-2021,481.15,488.35,490.55,478.25,11.11M,-0.75%
15-12-2021,484.8,490,491,483.5,8.64M,-0.77%
14-12-2021,488.55,486,490.35,481.8,11.64M,0.15%
13-12-2021,487.8,497.75,500.45,486.35,14.05M,-1.39%
10-12-2021,494.7,488.5,495.95,484.4,13.26M,1.24%
09-12-2021,488.65,492.3,493.5,486.1,12.56M,-0.59%
08-12-2021,491.55,480.9,492.4,480.25,20.40M,3.12%
07-12-2021,476.7,469.2,479.7,469.2,13.64M,2.45%
06-12-2021,465.3,473.15,477,463.8,14.35M,-1.66%
03-12-2021,473.15,475.75,481.5,470.05,16.65M,-0.81%
02-12-2021,477,474.5,478.15,470.95,12.96M,0.36%
01-12-2021,475.3,464.45,477.25,464,17.16M,3.20%
30-11-2021,460.55,468,477.25,458,23.03M,-0.98%
29-11-2021,465.1,470,477.75,454.3,22.41M,-1.15%
26-11-2021,470.5,486.25,487.9,467.1,26.31M,-4.09%
25-11-2021,490.55,490,495.45,486.3,12.89M,-0.53%
24-11-2021,493.15,495.8,500,489.05,13.96M,0.02%
23-11-2021,493.05,485.25,495.4,480,20.00M,1.37%
22-11-2021,486.4,506,506,477.5,28.80M,-3.45%
18-11-2021,503.8,499.1,506.2,492.3,22.47M,1.13%
17-11-2021,498.15,493.85,505.4,491,20.49M,0.62%
16-11-2021,495.1,507.4,507.4,493.5,19.55M,-2.26%
15-11-2021,506.55,512.4,515.9,505.5,13.33M,-0.94%
12-11-2021,511.35,512,513,502.7,19.84M,0.34%
11-11-2021,509.6,522.85,522.85,507.1,23.09M,-2.82%
10-11-2021,524.4,525.55,528.5,521.5,15.81M,-0.90%
09-11-2021,529.15,526.25,532,522.2,25.45M,1.13%
08-11-2021,523.25,534.45,534.45,516.45,36.80M,-1.36%
04-11-2021,530.45,531.5,535.9,528.05,9.80M,0.53%
03-11-2021,527.65,524,542.3,515.2,80.78M,1.14%
02-11-2021,521.7,514.8,525,512.05,26.80M,1.16%
01-11-2021,515.7,508.5,516.95,501,20.68M,2.70%
29-10-2021,502.15,501.5,512.65,488.4,31.36M,0.16%
28-10-2021,501.35,519.6,520.55,497.6,28.14M,-3.43%
27-10-2021,519.15,513.7,526.85,512.75,29.46M,1.29%
26-10-2021,512.55,507.6,518.2,507.6,21.11M,1.19%
25-10-2021,506.5,506.5,515.45,497.85,35.62M,0.71%
22-10-2021,502.95,504.6,508.7,500,24.08M,0.00%
21-10-2021,502.95,504.9,506.5,491.75,20.81M,0.61%
20-10-2021,499.9,488.8,507.5,483.1,34.08M,2.40%
19-10-2021,488.2,500.35,504.2,483.25,20.65M,-1.96%
18-10-2021,497.95,494,501,491.7,20.08M,1.50%
